v,d,s,r,p
8,0.057,22.538,1,1.162
12,0.067,27.162,1,1.197
24,0.063,19.704,1,1.436
4,0.104,32.471,0,1.030
8,0.123,39.098,0,1.047
12,0.058,18.922,0,1.216
24,0.029,14.510,0,1.748
4,0.086,30.533,1,1.020
8,0.036,16.038,1,1.254
12,0.056,17.817,1,1.357
24,0.047,14.713,1,1.606
4,0.031,15.418,0,1.098
8,0.039,13.031,0,1.247
12,0.029,17.354,0,1.346
24,0.048,22.266,0,1.725
4,0.032,12.184,1,1.196
8,0.117,39.887,1,1.145
12,0.082,35.533,1,1.199
24,0.091,36.006,1,1.294
4,0.102,36.852,0,1.031
8,0.102,33.680,0,1.116
12,0.099,37.271,0,1.292
24,0.048,21.121,0,1.606
4,0.097,32.162,1,1.012
8,0.057,33.251,1,1.266
12,0.057,23.547,1,1.332
24,0.039,19.520,1,1.564
4,0.057,29.874,0,1.041
8,0.027,13.345,0,1.246
12,0.048,15.060,0,1.295
24,0.040,18.849,0,1.792
4,0.039,14.534,1,1.156
8,0.023,12.874,1,1.270
12,0.042,19.907,1,1.362
24,0.066,33.705,1,1.570
4,0.021,12.500,0,1.103
8,0.067,34.592,0,1.159
12,0.080,26.724,0,1.251
24,0.022,12.090,0,1.979
4,0.079,31.911,1,1.170
8,0.036,15.804,1,1.223
12,0.026,11.818,1,1.345
24,0.071,28.544,1,1.409
4,0.098,37.359,0,1.075
8,0.065,30.403,0,1.062
12,0.088,31.266,0,1.305
24,0.054,28.732,0,1.439
4,0.036,15.675,1,1.116
8,0.072,33.849,1,1.178
12,0.115,38.545,1,1.292
24,0.034,17.666,1,1.776
4,0.050,26.148,0,1.113
8,0.056,21.244,0,1.166
12,0.025,13.658,0,1.409
24,0.044,21.940,0,1.511
4,0.087,33.359,1,0.958
8,0.058,33.883,1,1.141
12,0.053,27.681,1,1.180
24,0.064,30.758,1,1.382
4,0.066,26.592,0,1.046
8,0.047,25.639,0,1.118
12,0.094,38.503,0,1.162
24,0.027,13.223,0,1.932
4,0.056,30.722,1,1.042
8,0.063,28.960,1,1.166
12,0.027,14.944,1,1.366
24,0.081,34.221,1,1.572
4,0.045,25.244,0,1.092
8,0.043,19.426,0,1.148
12,0.071,39.099,0,1.279
24,0.066,39.000,0,1.368
4,0.058,20.108,1,1.054
8,0.072,23.314,1,1.195
12,0.037,20.397,1,1.259
24,0.041,20.998,1,1.578
4,0.081,26.209,0,1.098
8,0.074,38.942,0,1.107
12,0.052,18.105,0,1.360
24,0.038,20.797,0,1.634
4,0.078,38.103,1,1.092
8,0.065,36.746,1,1.228
12,0.066,23.603,1,1.372
24,0.092,39.282,1,1.440
4,0.031,11.329,0,1.153
8,0.056,32.599,0,1.096
12,0.038,12.309,0,1.360
24,0.042,16.653,0,1.491
4,0.048,26.409,1,1.075
8,0.033,14.759,1,1.208
12,0.030,13.344,1,1.283
24,0.043,23.279,1,1.552
4,0.108,37.860,0,1.026
8,0.098,37.727,0,1.165
12,0.038,18.782,0,1.280
24,0.056,26.896,0,1.524
4,0.095,35.277,1,1.117
8,0.064,37.124,1,1.146
12,0.033,18.836,1,1.320
24,0.063,25.605,1,1.560
4,0.026,12.037,0,1.141
8,0.026,10.632,0,1.325
12,0.047,28.250,0,1.241
24,0.036,20.565,0,1.730
4,0.081,39.075,1,1.111
8,0.116,35.122,1,1.080
12,0.027,12.936,1,1.344
24,0.021,11.666,1,1.946
4,0.051,18.909,0,1.099
8,0.096,37.514,0,1.226
12,0.068,27.332,0,1.335
24,0.030,17.073,0,1.830
4,0.044,14.560,1,1.146
8,0.066,36.931,1,1.189
12,0.057,23.485,1,1.381
24,0.092,29.570,1,1.515
4,0.054,21.434,0,1.057
8,0.055,26.334,0,1.200
12,0.029,15.454,0,1.389
24,0.066,37.066,0,1.434
4,0.111,34.959,1,0.961
8,0.087,31.753,1,1.244
12,0.038,11.924,1,1.275
24,0.031,13.313,1,1.746
4,0.105,37.207,0,1.044
8,0.034,10.432,0,1.213
12,0.027,15.991,0,1.323
24,0.062,33.107,0,1.367
4,0.095,39.075,1,1.119
8,0.063,23.710,1,1.139
12,0.047,28.446,1,1.362
24,0.112,35.901,1,1.488
4,0.055,16.634,0,1.103
8,0.063,28.675,0,1.171
12,0.021,11.322,0,1.524
24,0.056,22.039,0,1.526
4,0.030,12.955,1,1.075
8,0.066,37.779,1,1.162
12,0.028,14.446,1,1.310
24,0.044,21.953,1,1.563
4,0.037,21.632,0,1.127
8,0.040,15.391,0,1.195
12,0.054,31.579,0,1.281
24,0.079,34.556,0,1.496
4,0.092,36.670,1,1.032
8,0.049,22.485,1,1.292
12,0.090,34.409,1,1.096
24,0.049,25.364,1,1.726
4,0.046,23.867,0,1.103
8,0.034,13.913,0,1.259
12,0.065,34.244,0,1.321
24,0.086,34.984,0,1.527
4,0.019,10.902,1,1.070
8,0.097,35.332,1,1.182
12,0.109,39.834,1,1.292
24,0.063,31.452,1,1.475
