v,d,s,r,p
24,0.067,38.031,0,1.402
4,0.068,35.140,1,1.096
8,0.064,20.669,1,1.204
12,0.043,22.860,1,1.264
24,0.027,11.931,1,1.913
4,0.052,30.790,0,1.103
8,0.050,19.640,0,1.219
12,0.077,33.166,0,1.273
24,0.068,29.890,0,1.533
4,0.032,14.464,1,1.117
8,0.038,18.514,1,1.278
12,0.047,27.188,1,1.391
24,0.113,37.492,1,1.387
4,0.104,31.781,0,1.117
8,0.084,38.773,0,1.045
12,0.040,23.423,0,1.193
24,0.040,19.001,0,1.645
4,0.069,33.905,1,1.176
8,0.048,25.587,1,1.280
12,0.061,23.850,1,1.346
24,0.031,11.006,1,1.778
4,0.070,36.773,0,1.119
8,0.050,19.462,0,1.274
12,0.027,15.799,0,1.259
24,0.063,26.010,0,1.613
4,0.034,10.661,1,1.102
8,0.038,11.791,1,1.309
12,0.042,17.357,1,1.328
24,0.094,31.547,1,1.358
4,0.065,37.072,0,1.134
8,0.105,33.234,0,1.190
12,0.078,27.830,0,1.296
24,0.066,29.432,0,1.414
4,0.017,10.157,1,1.188
8,0.054,24.342,1,1.217
12,0.034,18.070,1,1.430
24,0.080,34.476,1,1.401
4,0.065,20.268,0,1.063
8,0.026,13.167,0,1.208
12,0.112,35.524,0,1.191
24,0.102,38.816,0,1.428
4,0.053,24.058,1,0.983
8,0.079,37.986,1,1.207
12,0.110,35.019,1,1.169
24,0.065,26.492,1,1.507
4,0.064,22.741,0,1.033
8,0.042,22.204,0,1.116
12,0.043,14.131,0,1.421
24,0.043,16.724,0,1.665
4,0.081,26.200,1,1.146
8,0.069,26.678,1,1.242
12,0.064,24.738,1,1.368
24,0.094,33.385,1,1.393
4,0.064,33.272,0,1.137
8,0.048,26.590,0,1.275
12,0.039,19.838,0,1.332
24,0.055,26.066,0,1.571
4,0.069,30.696,1,1.078
8,0.048,17.709,1,1.138
12,0.024,11.057,1,1.547
24,0.035,19.748,1,1.646
4,0.087,31.357,0,1.036
8,0.069,30.599,0,1.053
12,0.028,12.872,0,1.296
24,0.027,11.036,0,1.884
4,0.038,18.386,1,1.155
8,0.100,31.467,1,1.130
12,0.089,39.606,1,1.187
24,0.065,22.012,1,1.383
4,0.061,34.189,0,1.082
8,0.032,18.636,0,1.315
12,0.043,22.304,0,1.248
24,0.046,26.807,0,1.552
4,0.090,30.118,1,0.977
8,0.026,14.630,1,1.215
12,0.028,13.531,1,1.251
24,0.049,25.615,1,1.594
4,0.123,37.588,0,1.058
8,0.023,10.824,0,1.323
12,0.079,28.989,0,1.128
24,0.045,25.884,0,1.688
4,0.062,20.949,1,1.098
8,0.053,25.591,1,1.095
12,0.088,27.771,1,1.251
24,0.126,39.098,1,1.406
4,0.067,27.981,0,1.084
8,0.044,19.494,0,1.097
12,0.044,14.197,0,1.307
24,0.081,36.945,0,1.539
4,0.039,17.753,1,1.204
8,0.032,16.376,1,1.136
12,0.068,27.539,1,1.333
24,0.071,28.045,1,1.574
4,0.057,20.682,0,1.131
8,0.040,22.759,0,1.134
12,0.036,20.809,0,1.324
24,0.034,15.224,0,1.836
4,0.085,32.436,1,0.960
8,0.076,28.877,1,1.069
12,0.062,30.897,1,1.351
24,0.088,37.876,1,1.307
4,0.064,36.691,0,1.040
8,0.025,10.352,0,1.395
12,0.025,12.969,0,1.481
24,0.065,32.132,0,1.635
4,0.038,20.262,1,1.137
8,0.109,35.461,1,1.073
12,0.059,22.163,1,1.338
24,0.060,35.825,1,1.484
4,0.019,10.204,0,1.177
8,0.081,25.180,0,1.199
12,0.034,13.992,0,1.240
24,0.040,21.692,0,1.780
4,0.050,17.681,1,1.172
8,0.052,29.329,1,1.207
12,0.044,18.945,1,1.429
24,0.068,36.207,1,1.540
4,0.041,12.404,0,1.122
8,0.036,19.460,0,1.210
12,0.063,36.752,0,1.150
24,0.054,20.349,0,1.532
4,0.053,20.418,1,0.977
8,0.047,26.768,1,1.257
12,0.054,17.800,1,1.206
24,0.047,22.534,1,1.710
4,0.064,32.028,0,1.123
8,0.039,22.192,0,1.181
12,0.095,29.738,0,1.288
24,0.091,30.992,0,1.482
4,0.026,14.424,1,1.099
8,0.047,19.889,1,1.095
12,0.023,10.089,1,1.374
24,0.057,33.695,1,1.626
4,0.046,24.958,0,1.079
8,0.106,34.701,0,1.183
12,0.041,20.689,0,1.193
24,0.079,34.611,0,1.531
4,0.069,28.081,1,1.005
8,0.051,28.365,1,1.276
12,0.055,29.928,1,1.238
24,0.066,26.320,1,1.521
4,0.030,11.770,0,1.138
8,0.033,17.710,0,1.326
12,0.032,10.154,0,1.245
24,0.089,35.691,0,1.372
4,0.081,28.276,1,1.054
8,0.084,33.200,1,1.137
12,0.039,20.380,1,1.328
24,0.035,13.583,1,1.664
4,0.040,20.849,0,1.089
8,0.031,13.184,0,1.126
12,0.067,34.486,0,1.322
24,0.046,14.008,0,1.660
4,0.026,13.505,1,1.023
8,0.078,28.919,1,1.082
12,0.023,10.143,1,1.471
24,0.044,21.800,1,1.649
4,0.023,12.317,0,1.174
8,0.071,37.875,0,1.117
12,0.041,23.436,0,1.192
24,0.019,11.347,0,1.843
4,0.055,31.866,1,1.113
8,0.080,38.223,1,1.126
12,0.024,10.370,1,1.490
24,0.072,35.899,1,1.621
4,0.047,19.143,0,1.082
8,0.077,34.621,0,1.265
12,0.084,29.708,0,1.306
24,0.053,24.234,0,1.614
4,0.065,30.846,1,1.045
8,0.097,34.764,1,1.035
12,0.061,32.352,1,1.167
24,0.096,29.583,1,1.443
4,0.056,32.429,0,1.039
8,0.026,11.726,0,1.366
12,0.084,30.621,0,1.127
24,0.115,36.823,0,1.422
4,0.093,32.105,1,1.054
8,0.036,21.199,1,1.311
12,0.060,19.877,1,1.214
24,0.029,11.224,1,1.849
4,0.049,16.292,0,1.086
8,0.055,31.731,0,1.297
12,0.048,26.465,0,1.416
24,0.068,35.377,0,1.620
4,0.058,22.632,1,0.970
8,0.036,11.914,1,1.322
12,0.040,18.402,1,1.327
24,0.110,39.404,1,1.480
4,0.032,17.993,0,1.092
8,0.081,27.139,0,1.098
12,0.038,18.604,0,1.450
24,0.036,18.495,0,1.585
4,0.028,13.984,1,1.188
8,0.104,36.114,1,1.056
12,0.119,37.287,1,1.068
24,0.064,36.570,1,1.385
4,0.068,39.381,0,1.055
8,0.027,12.819,0,1.340
12,0.080,37.404,0,1.225
24,0.066,34.424,0,1.381
4,0.054,26.532,1,1.145
8,0.099,34.701,1,1.221
12,0.052,25.526,1,1.408
24,0.047,27.928,1,1.705
4,0.037,19.977,0,1.126
8,0.061,28.481,0,1.062
12,0.048,17.543,0,1.329
24,0.049,22.509,0,1.422
4,0.036,19.583,1,1.181
8,0.070,25.955,1,1.213
12,0.077,29.813,1,1.138
24,0.051,22.192,1,1.602
4,0.057,18.902,0,1.043
8,0.039,16.675,0,1.217
12,0.058,21.596,0,1.257
24,0.035,17.521,0,1.788
4,0.058,24.567,1,1.171
8,0.077,23.614,1,1.129
12,0.093,38.834,1,1.269
24,0.049,29.292,1,1.687
4,0.085,28.136,0,1.068
8,0.070,39.387,0,1.075
12,0.033,16.818,0,1.362
24,0.072,31.683,0,1.380
4,0.093,35.362,1,1.035
8,0.060,28.040,1,1.169
12,0.072,31.932,1,1.174
24,0.044,25.265,1,1.597
4,0.059,26.192,0,1.103
8,0.045,23.760,0,1.157
12,0.075,26.125,0,1.355
24,0.053,22.747,0,1.414
4,0.052,31.137,1,1.094
8,0.073,34.665,1,1.100
12,0.058,27.196,1,1.303
24,0.074,31.682,1,1.511
4,0.024,11.833,0,1.099
8,0.026,10.207,0,1.197
12,0.024,10.323,0,1.333
24,0.043,14.237,0,1.681
4,0.064,37.782,1,1.105
8,0.073,22.289,1,1.050
12,0.061,22.496,1,1.186
24,0.044,21.111,1,1.606
4,0.093,37.646,0,1.019
8,0.071,28.211,0,1.104
12,0.052,29.602,0,1.333
24,0.042,17.191,0,1.499
4,0.023,10.237,1,1.236
8,0.051,19.299,1,1.282
12,0.072,26.545,1,1.284
24,0.051,29.868,1,1.674
4,0.046,27.178,0,1.084
8,0.056,23.626,0,1.098
12,0.096,31.554,0,1.268
24,0.042,20.947,0,1.640
4,0.118,38.595,1,1.127
8,0.039,21.129,1,1.218
12,0.058,25.428,1,1.245
24,0.044,26.039,1,1.469
4,0.046,17.633,0,1.045
8,0.028,12.413,0,1.289
12,0.052,24.412,0,1.366
24,0.036,19.952,0,1.584
4,0.091,35.244,1,1.036
8,0.074,32.324,1,1.118
12,0.067,28.935,1,1.211
24,0.025,12.683,1,1.919
4,0.039,15.152,0,1.155
8,0.037,21.342,0,1.171
12,0.048,21.098,0,1.202
24,0.055,21.296,0,1.511
4,0.064,21.839,1,1.001
8,0.041,23.303,1,1.134
12,0.049,22.454,1,1.254
24,0.026,12.601,1,1.838
4,0.091,35.078,0,1.052
8,0.033,15.527,0,1.121
12,0.044,14.833,0,1.219
24,0.069,37.821,0,1.606
4,0.059,34.193,1,1.055
8,0.028,13.557,1,1.226
12,0.036,20.721,1,1.370
24,0.046,19.748,1,1.478
4,0.048,15.488,0,1.064
8,0.023,10.792,0,1.342
12,0.059,21.435,0,1.159
24,0.069,38.623,0,1.620
4,0.052,22.540,1,1.155
8,0.052,15.819,1,1.081
12,0.071,28.032,1,1.234
24,0.055,19.766,1,1.474
4,0.046,17.279,0,1.118
8,0.041,18.935,0,1.295
12,0.069,24.725,0,1.254
24,0.066,22.085,0,1.455
4,0.091,39.827,1,1.028
8,0.120,36.429,1,1.130
12,0.062,36.563,1,1.286
24,0.038,22.233,1,1.626
4,0.089,34.984,0,1.073
8,0.068,34.744,0,1.115
12,0.030,11.802,0,1.363
24,0.057,33.249,0,1.476
4,0.076,34.881,1,1.041
8,0.047,23.609,1,1.184
12,0.042,23.118,1,1.215
24,0.020,11.435,1,1.788
4,0.020,12.117,0,1.121
8,0.036,12.570,0,1.271
12,0.092,33.757,0,1.175
24,0.051,19.575,0,1.619
4,0.092,37.054,1,1.059
8,0.045,25.182,1,1.217
12,0.048,24.236,1,1.317
24,0.059,20.041,1,1.667
4,0.033,18.357,0,1.153
8,0.067,37.310,0,1.139
12,0.045,24.693,0,1.231
24,0.030,13.813,0,1.899
4,0.030,13.273,1,1.120
8,0.058,33.938,1,1.271
12,0.104,32.021,1,1.079
24,0.063,34.717,1,1.497
4,0.102,32.357,0,1.094
8,0.025,14.486,0,1.380
12,0.039,13.165,0,1.313
24,0.047,23.375,0,1.568
4,0.067,39.170,1,1.050
8,0.081,32.065,1,1.191
12,0.107,32.395,1,1.236
24,0.044,13.651,1,1.742
4,0.056,27.296,0,1.039
8,0.048,28.163,0,1.190
12,0.042,22.237,0,1.388
24,0.031,16.458,0,1.718
4,0.071,34.027,1,1.063
8,0.019,10.126,1,1.397
12,0.065,25.249,1,1.143
24,0.065,24.582,1,1.510
4,0.043,23.185,0,1.102
8,0.029,15.298,0,1.158
12,0.036,18.145,0,1.325
24,0.062,28.113,0,1.645
4,0.084,31.530,1,1.147
8,0.075,38.669,1,1.068
12,0.058,22.743,1,1.205
24,0.067,32.715,1,1.437
4,0.094,33.057,0,1.057
8,0.046,20.342,0,1.281
12,0.045,23.849,0,1.296
24,0.076,35.947,0,1.575
4,0.044,24.151,1,1.037
8,0.059,32.878,1,1.202
12,0.052,20.277,1,1.163
24,0.074,32.576,1,1.573
4,0.038,17.195,0,1.117
8,0.039,14.598,0,1.196
12,0.067,37.886,0,1.161
24,0.058,29.744,0,1.449
4,0.055,30.983,1,1.141
8,0.061,26.345,1,1.084
12,0.038,13.402,1,1.313
24,0.088,33.604,1,1.289
4,0.102,39.014,0,1.039
8,0.053,25.764,0,1.168
12,0.038,21.184,0,1.327
24,0.061,22.200,0,1.390
4,0.045,21.381,1,1.128
8,0.080,35.549,1,1.061
12,0.022,10.974,1,1.367
24,0.028,14.653,1,1.787
4,0.030,13.940,0,1.100
8,0.051,25.359,0,1.121
12,0.058,31.621,0,1.153
24,0.086,30.344,0,1.573
4,0.034,16.408,1,1.142
8,0.041,22.341,1,1.213
12,0.065,31.057,1,1.161
24,0.037,16.746,1,1.791
4,0.069,32.069,0,1.045
8,0.081,31.413,0,1.247
12,0.065,20.794,0,1.357
24,0.025,12.907,0,1.932
4,0.042,23.304,1,0.999
8,0.069,24.223,1,1.268
12,0.035,16.729,1,1.389
24,0.049,19.090,1,1.708
4,0.070,32.990,0,1.086
8,0.019,10.739,0,1.288
12,0.066,21.900,0,1.326
24,0.066,34.812,0,1.532
4,0.029,17.129,1,1.129
8,0.025,13.867,1,1.160
12,0.037,18.424,1,1.310
24,0.054,31.411,1,1.471
4,0.046,26.939,0,1.058
8,0.077,39.202,0,1.124
12,0.069,23.081,0,1.129
24,0.077,36.081,0,1.526
4,0.050,24.318,1,1.154
8,0.081,39.989,1,1.217
12,0.042,14.225,1,1.272
24,0.048,20.842,1,1.529
4,0.072,29.505,0,1.126
8,0.078,35.772,0,1.207
12,0.069,26.280,0,1.203
24,0.031,13.976,0,1.677
4,0.052,29.322,1,1.059
8,0.052,27.579,1,1.243
12,0.026,15.467,1,1.384
24,0.065,37.752,1,1.410
4,0.085,39.806,0,1.094
8,0.075,32.442,0,1.254
12,0.066,30.592,0,1.161
24,0.062,33.645,0,1.565
4,0.077,33.189,1,1.162
8,0.025,14.525,1,1.295
12,0.088,37.374,1,1.239
24,0.035,17.604,1,1.613
4,0.050,18.858,0,1.141
8,0.122,37.494,0,1.080
12,0.057,28.596,0,1.262
24,0.043,21.575,0,1.489
4,0.064,33.389,1,1.005
8,0.096,28.913,1,1.240
12,0.042,23.929,1,1.345
24,0.066,33.648,1,1.488
4,0.064,37.794,0,1.111
8,0.060,35.248,0,1.159
12,0.046,21.222,0,1.326
24,0.116,38.695,0,1.410
4,0.076,27.530,1,0.981
8,0.085,38.101,1,1.230
12,0.072,24.490,1,1.166
24,0.046,25.397,1,1.733
4,0.049,20.058,0,1.075
8,0.078,25.547,0,1.207
12,0.070,37.426,0,1.300
24,0.040,17.054,0,1.736
4,0.038,21.536,1,1.015
8,0.043,18.262,1,1.242
12,0.070,29.314,1,1.349
24,0.053,22.080,1,1.674
4,0.055,22.544,0,1.089
8,0.074,25.568,0,1.071
12,0.026,14.998,0,1.434
24,0.086,37.927,0,1.344
4,0.078,36.895,1,1.029
8,0.059,27.426,1,1.152
12,0.054,26.586,1,1.327
24,0.031,12.322,1,1.566
4,0.059,21.288,0,1.073
8,0.044,26.094,0,1.115
12,0.063,31.380,0,1.139
24,0.027,14.039,0,1.669
4,0.037,11.949,1,1.153
8,0.049,23.957,1,1.297
12,0.064,25.539,1,1.368
24,0.085,34.136,1,1.399
4,0.023,11.810,0,1.172
8,0.062,19.990,0,1.229
12,0.049,26.108,0,1.397
24,0.054,23.168,0,1.620
4,0.044,23.900,1,1.117
8,0.037,19.463,1,1.198
12,0.019,10.921,1,1.456
24,0.049,25.321,1,1.630
4,0.069,35.913,0,1.063
8,0.097,31.845,0,1.232
12,0.051,15.537,0,1.162
24,0.077,26.878,0,1.574
4,0.088,31.728,1,1.018
8,0.051,23.302,1,1.306
12,0.087,30.596,1,1.310
24,0.030,16.060,1,1.660
4,0.049,28.489,0,1.131
8,0.020,12.052,0,1.343
12,0.046,22.321,0,1.414
24,0.122,37.738,0,1.394
4,0.037,16.965,1,1.005
8,0.069,26.581,1,1.244
12,0.029,17.509,1,1.423
24,0.060,22.839,1,1.511
4,0.027,13.142,0,1.139
8,0.113,38.476,0,1.231
12,0.046,23.664,0,1.180
24,0.021,11.429,0,1.845
4,0.068,31.890,1,0.986
8,0.043,19.939,1,1.139
12,0.058,29.564,1,1.158
24,0.045,26.334,1,1.566
4,0.100,38.020,0,1.084
8,0.064,26.149,0,1.256
12,0.042,16.725,0,1.182
24,0.068,33.149,0,1.576
4,0.063,36.677,1,0.973
8,0.028,13.879,1,1.229
12,0.058,24.595,1,1.145
24,0.065,37.579,1,1.559
4,0.102,36.861,0,1.112
8,0.070,25.552,0,1.137
12,0.066,39.684,0,1.352
24,0.031,14.004,0,1.552
4,0.052,17.960,1,1.133
8,0.076,35.250,1,1.135
12,0.025,10.639,1,1.332
24,0.032,12.224,1,1.852
4,0.059,20.017,0,1.142
8,0.041,18.397,0,1.146
12,0.025,14.244,0,1.327
24,0.052,21.882,0,1.668
4,0.053,20.508,1,1.076
8,0.031,10.664,1,1.195
12,0.075,35.902,1,1.259
24,0.033,13.150,1,1.722
4,0.047,20.089,0,1.045
8,0.067,28.362,0,1.251
12,0.046,25.154,0,1.248
24,0.055,23.231,0,1.517
4,0.080,25.293,1,1.110
8,0.062,34.944,1,1.233
12,0.051,30.195,1,1.296
24,0.073,25.726,1,1.613
4,0.023,12.649,0,1.098
8,0.044,19.945,0,1.141
12,0.101,39.039,0,1.194
24,0.064,34.749,0,1.424
4,0.037,13.544,1,1.201
8,0.040,23.588,1,1.188
12,0.033,13.607,1,1.322
24,0.094,29.205,1,1.496
4,0.071,22.639,0,1.125
8,0.025,11.121,0,1.365
12,0.054,31.846,0,1.152
24,0.057,32.428,0,1.567
4,0.036,18.491,1,1.113
8,0.063,33.866,1,1.206
12,0.054,23.234,1,1.169
24,0.047,20.196,1,1.670
4,0.083,33.727,0,1.115
8,0.111,38.973,0,1.197
12,0.056,29.509,0,1.343
24,0.047,18.023,0,1.643
4,0.031,11.449,1,1.058
8,0.045,13.656,1,1.209
12,0.040,19.279,1,1.222
24,0.088,37.611,1,1.431
4,0.028,15.508,0,1.128
8,0.086,29.087,0,1.130
12,0.026,13.040,0,1.472
24,0.065,24.968,0,1.494
4,0.039,16.230,1,1.179
8,0.030,17.985,1,1.248
12,0.088,28.770,1,1.301
24,0.059,29.210,1,1.639
4,0.053,19.238,0,1.118
8,0.044,26.152,0,1.321
12,0.029,15.263,0,1.267
24,0.042,14.315,0,1.740
4,0.034,12.382,1,1.171
8,0.046,23.700,1,1.133
12,0.058,23.738,1,1.288
24,0.032,11.408,1,1.868
4,0.106,37.955,0,1.045
8,0.045,17.058,0,1.294
12,0.042,18.172,0,1.302
24,0.029,14.917,0,1.624
4,0.022,11.614,1,1.231
8,0.072,39.718,1,1.084
12,0.088,39.750,1,1.142
24,0.074,38.306,1,1.422
4,0.038,16.564,0,1.143
8,0.063,36.057,0,1.098
12,0.085,26.367,0,1.315
24,0.037,21.368,0,1.740
4,0.061,24.833,1,1.183
8,0.126,37.827,1,1.161
12,0.085,32.811,1,1.154
24,0.093,39.622,1,1.403
4,0.018,10.739,0,1.211
8,0.078,37.712,0,1.177
12,0.029,13.831,0,1.347
24,0.035,14.359,0,1.699
4,0.057,34.029,1,1.170
8,0.028,16.037,1,1.190
12,0.068,31.293,1,1.197
24,0.024,10.194,1,1.985
4,0.111,33.639,0,1.078
8,0.027,10.449,0,1.259
12,0.054,32.336,0,1.321
24,0.067,37.856,0,1.398
4,0.030,17.355,1,1.042
8,0.038,18.547,1,1.154
12,0.066,36.052,1,1.199
24,0.032,12.387,1,1.545
4,0.047,15.297,0,1.047
8,0.054,29.633,0,1.207
12,0.028,16.602,0,1.509
24,0.078,28.848,0,1.581
4,0.056,31.850,1,0.986
8,0.049,27.406,1,1.288
12,0.030,15.189,1,1.446
24,0.024,12.024,1,1.880
4,0.038,14.333,0,1.135
8,0.035,16.108,0,1.275
12,0.049,21.986,0,1.214
24,0.050,25.574,0,1.437
4,0.048,17.186,1,1.184
8,0.101,37.918,1,1.196
12,0.064,24.127,1,1.244
24,0.053,25.865,1,1.403
4,0.066,33.895,0,1.122
8,0.075,32.433,0,1.222
12,0.067,37.781,0,1.335
24,0.039,22.493,0,1.648
4,0.050,20.640,1,1.161
8,0.026,13.983,1,1.348
12,0.042,14.297,1,1.400
24,0.075,38.192,1,1.492
4,0.073,33.531,0,1.120
8,0.067,21.697,0,1.216
12,0.019,10.232,0,1.486
24,0.063,25.667,0,1.544
4,0.056,25.348,1,1.050
8,0.105,39.191,1,1.076
12,0.066,21.187,1,1.221
24,0.044,23.589,1,1.475
4,0.037,17.588,0,1.123
8,0.073,26.682,0,1.101
12,0.086,30.337,0,1.235
24,0.079,33.062,0,1.475
4,0.055,29.696,1,1.015
8,0.073,27.717,1,1.126
12,0.105,35.280,1,1.109
24,0.037,13.593,1,1.733
4,0.118,37.616,0,1.052
8,0.090,27.490,0,1.247
12,0.025,10.663,0,1.390
24,0.055,28.155,0,1.435
4,0.021,10.504,1,1.087
8,0.079,32.574,1,1.049
12,0.052,19.369,1,1.370
24,0.075,36.660,1,1.565
4,0.056,22.957,0,1.095
8,0.046,22.731,0,1.141
12,0.025,15.060,0,1.426
24,0.018,10.071,0,1.829
4,0.032,16.821,1,1.170
8,0.071,28.483,1,1.080
12,0.038,18.261,1,1.280
24,0.071,30.316,1,1.417
4,0.070,32.872,0,1.029
8,0.043,24.105,0,1.176
12,0.029,14.051,0,1.249
24,0.026,13.458,0,1.853
4,0.045,23.706,1,1.018
8,0.064,19.934,1,1.103
12,0.099,38.104,1,1.157
24,0.051,20.669,1,1.532
4,0.049,19.163,0,1.142
8,0.035,11.069,0,1.132
12,0.091,35.644,0,1.299
24,0.050,21.291,0,1.693
4,0.048,25.636,1,1.135
8,0.100,34.292,1,1.078
12,0.056,32.200,1,1.185
24,0.020,11.984,1,1.892
4,0.040,20.914,0,1.145
8,0.121,37.998,0,1.073
12,0.047,18.351,0,1.376
24,0.061,32.926,0,1.518
4,0.062,26.713,1,1.102
8,0.071,27.862,1,1.127
12,0.045,18.936,1,1.247
24,0.039,20.724,1,1.717
4,0.055,19.519,0,1.102
8,0.031,15.512,0,1.237
12,0.084,31.573,0,1.257
24,0.054,29.454,0,1.521
4,0.025,14.089,1,1.014
8,0.045,26.264,1,1.196
12,0.024,12.559,1,1.420
24,0.074,39.245,1,1.603
4,0.076,37.394,0,1.127
8,0.035,16.507,0,1.300
12,0.039,13.707,0,1.354
24,0.054,30.222,0,1.634
4,0.069,22.657,1,1.027
8,0.056,28.629,1,1.093
12,0.075,28.203,1,1.183
24,0.066,24.873,1,1.497
4,0.113,34.032,0,1.080
8,0.056,21.686,0,1.116
12,0.025,11.544,0,1.294
24,0.036,19.397,0,1.749
4,0.090,37.760,1,1.061
8,0.027,14.450,1,1.333
12,0.070,23.458,1,1.223
24,0.059,25.489,1,1.556
4,0.074,38.579,0,1.068
8,0.069,27.138,0,1.046
12,0.044,21.158,0,1.321
24,0.096,30.681,0,1.311
4,0.062,26.294,1,1.110
8,0.067,32.337,1,1.142
12,0.061,22.917,1,1.169
24,0.060,22.697,1,1.473
4,0.103,39.274,0,1.046
8,0.043,18.638,0,1.268
12,0.087,37.251,0,1.274
24,0.073,39.632,0,1.433
4,0.094,32.528,1,1.018
8,0.071,33.442,1,1.161
12,0.077,34.436,1,1.222
24,0.057,23.160,1,1.558
4,0.091,30.535,0,1.061
8,0.055,18.098,0,1.157
12,0.106,35.664,0,1.205
24,0.057,19.623,0,1.686
4,0.029,10.438,1,1.039
8,0.082,39.565,1,1.084
12,0.059,30.242,1,1.304
24,0.033,18.125,1,1.700
4,0.047,22.239,0,1.045
8,0.116,38.833,0,1.120
12,0.073,31.418,0,1.260
24,0.055,32.174,0,1.538
4,0.045,14.386,1,1.169
8,0.044,19.691,1,1.126
12,0.056,23.056,1,1.179
24,0.070,37.272,1,1.419
4,0.045,14.232,0,1.127
8,0.053,28.007,0,1.160
12,0.070,31.123,0,1.205
24,0.048,18.592,0,1.717
4,0.046,15.626,1,1.000
8,0.019,10.488,1,1.227
12,0.044,25.686,1,1.248
24,0.032,17.706,1,1.806
4,0.020,11.548,0,1.107
8,0.110,33.340,0,1.080
12,0.059,31.768,0,1.193
24,0.023,13.246,0,1.967
4,0.059,25.324,1,1.171
8,0.081,36.277,1,1.149
12,0.054,25.531,1,1.192
24,0.051,18.381,1,1.513
4,0.048,19.500,0,1.131
8,0.026,13.703,0,1.304
12,0.085,27.013,0,1.116
24,0.070,27.735,0,1.448
4,0.059,28.956,1,1.044
8,0.046,15.659,1,1.097
12,0.022,10.739,1,1.565
24,0.042,17.758,1,1.728
4,0.030,11.501,0,1.138
8,0.075,30.497,0,1.209
12,0.034,13.919,0,1.470
24,0.107,36.403,0,1.390
4,0.062,23.109,1,0.981
8,0.076,33.412,1,1.135
12,0.037,21.091,1,1.386
24,0.083,39.083,1,1.490
4,0.064,22.792,0,1.122
8,0.055,18.375,0,1.116
12,0.027,14.908,0,1.310
24,0.076,37.611,0,1.463
4,0.098,36.198,1,1.144
8,0.030,10.368,1,1.371
12,0.053,29.001,1,1.227
24,0.026,13.641,1,1.965
4,0.047,22.236,0,1.103
8,0.044,16.125,0,1.254
12,0.038,17.699,0,1.291
24,0.078,38.165,0,1.386
4,0.032,13.692,1,1.177
8,0.096,39.386,1,1.141
12,0.044,20.290,1,1.429
24,0.075,25.946,1,1.330
4,0.074,32.843,0,1.084
8,0.110,37.966,0,1.230
12,0.063,34.763,0,1.340
24,0.045,16.300,0,1.505
4,0.066,22.698,1,1.123
8,0.064,19.780,1,1.071
12,0.020,12.125,1,1.392
24,0.082,25.432,1,1.527
4,0.080,35.019,0,1.047
8,0.068,34.685,0,1.112
12,0.079,25.057,0,1.124
24,0.051,18.642,0,1.526
4,0.045,19.569,1,1.107
8,0.047,19.209,1,1.153
12,0.049,20.333,1,1.290
24,0.109,33.525,1,1.249
4,0.055,19.946,0,1.088
8,0.067,30.665,0,1.265
12,0.048,27.543,0,1.175
24,0.126,38.779,0,1.371
4,0.022,13.233,1,1.063
8,0.110,34.263,1,1.200
12,0.085,29.929,1,1.199
24,0.043,23.181,1,1.626
4,0.064,37.554,0,1.073
8,0.083,37.977,0,1.043
12,0.047,19.243,0,1.209
24,0.043,23.164,0,1.726
4,0.049,23.656,1,1.175
8,0.071,37.128,1,1.207
12,0.062,25.496,1,1.249
24,0.111,39.051,1,1.434
4,0.060,34.459,0,1.038
8,0.052,28.300,0,1.118
12,0.021,10.736,0,1.373
24,0.059,24.715,0,1.600
4,0.041,23.199,1,1.186
8,0.027,11.179,1,1.307
12,0.081,27.710,1,1.344
24,0.050,16.651,1,1.419
4,0.024,13.496,0,1.151
8,0.049,22.511,0,1.081
12,0.054,30.596,0,1.348
24,0.084,37.237,0,1.487
4,0.058,30.571,1,0.985
8,0.071,37.262,1,1.092
12,0.024,14.148,1,1.474
24,0.061,34.316,1,1.382
4,0.101,32.100,0,1.042
8,0.052,28.427,0,1.129
12,0.052,23.793,0,1.331
24,0.061,26.625,0,1.503
4,0.033,16.121,1,1.106
8,0.028,16.743,1,1.374
12,0.059,21.135,1,1.204
24,0.080,28.615,1,1.429
4,0.069,21.989,0,1.062
8,0.049,19.057,0,1.172
12,0.076,38.253,0,1.334
24,0.081,34.669,0,1.316
4,0.049,27.361,1,1.050
8,0.068,24.254,1,1.218
12,0.095,31.254,1,1.209
24,0.061,31.529,1,1.389
4,0.038,18.457,0,1.118
8,0.075,37.517,0,1.112
12,0.073,24.263,0,1.255
24,0.106,38.162,0,1.316
4,0.072,33.652,1,1.080
8,0.043,24.907,1,1.167
12,0.068,20.692,1,1.191
24,0.037,19.186,1,1.703
4,0.059,25.493,0,1.072
8,0.035,16.675,0,1.255
12,0.053,23.324,0,1.353
24,0.056,31.430,0,1.469
4,0.071,30.171,1,1.111
8,0.021,12.252,1,1.383
12,0.078,38.785,1,1.282
24,0.023,13.414,1,1.717
4,0.058,31.444,0,1.094
8,0.077,29.664,0,1.148
12,0.048,27.536,0,1.299
24,0.064,25.434,0,1.466
4,0.072,23.726,1,1.071
8,0.037,12.874,1,1.241
12,0.055,31.536,1,1.215
24,0.054,31.160,1,1.608
4,0.026,12.191,0,1.102
8,0.125,38.189,0,1.218
12,0.068,37.260,0,1.234
24,0.085,31.383,0,1.576
4,0.059,30.927,1,1.051
